uid,timestamp_Nudge,timestamp_Lever,timestamp_Ramp,timestamp_Pendulum,timestamp_Springboard,timestamp_Down Hill,timestamp_Lead the Ball,timestamp_Chocolate Factory,timestamp_Around the Tree,timestamp_Big Watermill,timestamp_Sunny Day,timestamp_Wavy,timestamp_On the Upswing,timestamp_Shark,timestamp_One at a time,timestamp_Scale,timestamp_Cloudy Day,timestamp_Crazy Seesaw,timestamp_Roller coaster,timestamp_Uphill Battle,timestamp_Little Mermaid,timestamp_Ultimate Pinball,timestamp_Yippie!,timestamp_Diving Board,timestamp_Stiff Curtains,timestamp_Diving Board World,timestamp_Need Fulcrum,timestamp_Timing is Everything,timestamp_Perfect Toss,timestamp_Up in the Air,timestamp_Spider Web,timestamp_Can Opener,TrophyLevel_Nudge,TrophyLevel_Lever,TrophyLevel_Ramp,TrophyLevel_Pendulum,TrophyLevel_Springboard,TrophyLevel_Down Hill,TrophyLevel_Lead the Ball,TrophyLevel_Chocolate Factory,TrophyLevel_Around the Tree,TrophyLevel_Big Watermill,TrophyLevel_Sunny Day,TrophyLevel_Wavy,TrophyLevel_On the Upswing,TrophyLevel_Shark,TrophyLevel_One at a time,TrophyLevel_Scale,TrophyLevel_Cloudy Day,TrophyLevel_Crazy Seesaw,TrophyLevel_Roller coaster,TrophyLevel_Uphill Battle,TrophyLevel_Little Mermaid,TrophyLevel_Ultimate Pinball,TrophyLevel_Yippie!,TrophyLevel_Diving Board,TrophyLevel_Stiff Curtains,TrophyLevel_Diving Board World,TrophyLevel_Need Fulcrum,TrophyLevel_Timing is Everything,TrophyLevel_Perfect Toss,TrophyLevel_Up in the Air,TrophyLevel_Spider Web,TrophyLevel_Can Opener,NumberAttempts_Nudge,NumberAttempts_Lever,NumberAttempts_Ramp,NumberAttempts_Pendulum,NumberAttempts_Springboard,NumberAttempts_Down Hill,NumberAttempts_Lead the Ball,NumberAttempts_Chocolate Factory,NumberAttempts_Around the Tree,NumberAttempts_Big Watermill,NumberAttempts_Sunny Day,NumberAttempts_Wavy,NumberAttempts_On the Upswing,NumberAttempts_Shark,NumberAttempts_One at a time,NumberAttempts_Scale,NumberAttempts_Cloudy Day,NumberAttempts_Crazy Seesaw,NumberAttempts_Roller coaster,NumberAttempts_Uphill Battle,NumberAttempts_Little Mermaid,NumberAttempts_Ultimate Pinball,NumberAttempts_Yippie!,NumberAttempts_Diving Board,NumberAttempts_Stiff Curtains,NumberAttempts_Diving Board World,NumberAttempts_Need Fulcrum,NumberAttempts_Timing is Everything,NumberAttempts_Perfect Toss,NumberAttempts_Up in the Air,NumberAttempts_Spider Web,NumberAttempts_Can Opener,quit,silver,gold
E3463,2022-11-29T08:20:58Z,2022-11-29T08:21:39Z,2022-11-29T08:23:43Z,2022-11-29T08:25:59Z,2022-11-29T08:30:22Z,2022-12-01T08:25:23Z,2022-11-29T08:31:13Z,2022-12-01T08:29:37Z,2022-11-29T08:42:27Z,2022-12-01T08:31:46Z,2022-12-01T08:36:48Z,2022-12-01T08:45:45Z,NA,2022-11-30T08:27:36Z,2022-11-30T08:28:50Z,2022-11-30T08:32:12Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,silver,silver,silver,silver,quit,silver,silver,quit,gold,quit,quit,quit,NA,quit,gold,gold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,2,1,2,2,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,3
A3328,2022-11-29T08:21:17Z,2022-11-29T08:22:36Z,2022-11-29T08:23:06Z,2022-11-29T08:23:26Z,2022-11-29T08:31:39Z,2022-11-29T08:33:12Z,2022-11-29T08:33:24Z,2022-11-29T08:34:44Z,2022-12-01T08:21:21Z,2022-11-30T08:25:26Z,2022-11-30T08:32:35Z,NA,NA,2022-12-01T08:23:29Z,2022-12-01T08:24:07Z,2022-12-01T08:25:53Z,NA,2022-12-01T08:29:17Z,NA,NA,NA,NA,NA,NA,2022-12-01T08:32:40Z,2022-12-01T08:34:56Z,2022-12-01T08:35:52Z,2022-12-01T08:46:13Z,2022-12-02T08:37:49Z,NA,NA,NA,silver,silver,silver,silver,silver,silver,gold,silver,silver,quit,gold,NA,NA,gold,gold,silver,NA,silver,NA,NA,NA,NA,NA,NA,silver,silver,silver,silver,quit,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,1,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,2,14,4
A3339,2022-11-29T08:21:40Z,2022-11-29T08:22:46Z,2022-11-29T08:24:27Z,2022-11-29T08:24:50Z,2022-11-29T08:25:46Z,2022-11-29T08:26:52Z,2022-11-29T08:27:58Z,2022-11-29T08:28:59Z,2022-12-01T08:42:39Z,2022-11-29T08:40:37Z,2022-11-29T08:45:13Z,2022-11-29T08:46:53Z,2022-11-29T08:47:46Z,2022-12-02T08:39:05Z,2022-12-02T08:21:32Z,2022-12-02T08:23:00Z,2022-11-29T08:48:57Z,2022-12-02T08:23:53Z,2022-12-02T08:38:08Z,2022-11-30T08:29:38Z,2022-11-30T08:33:38Z,2022-11-29T08:53:31Z,2022-11-30T08:49:04Z,2022-11-30T08:32:16Z,2022-12-02T08:24:45Z,2022-12-02T08:25:40Z,2022-12-02T08:26:47Z,2022-12-02T08:28:24Z,2022-12-02T08:34:33Z,2022-12-02T08:34:47Z,NA,2022-12-02T08:35:52Z,silver,silver,silver,silver,silver,gold,gold,gold,gold,quit,quit,gold,gold,quit,gold,gold,quit,gold,quit,quit,quit,gold,quit,quit,quit,quit,quit,quit,quit,quit,NA,quit,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,16,5,10
F3126,2022-11-29T08:21:51Z,2022-11-29T08:23:40Z,2022-11-29T08:24:46Z,2022-11-29T08:25:18Z,2022-11-29T08:31:45Z,2022-11-29T08:33:34Z,2022-11-29T08:34:10Z,2022-11-29T08:37:51Z,2022-12-01T08:33:37Z,2022-11-30T08:22:24Z,2022-11-30T08:30:34Z,2022-11-30T08:34:02Z,NA,2022-12-01T08:39:06Z,2022-12-01T08:42:00Z,2022-12-01T08:51:09Z,NA,2022-12-02T08:22:38Z,NA,NA,NA,NA,NA,NA,2022-12-02T08:24:05Z,2022-12-02T08:28:58Z,2022-12-02T08:35:57Z,2022-12-02T08:40:08Z,2022-12-02T08:43:11Z,2022-12-02T08:46:54Z,NA,NA,silver,silver,silver,silver,silver,gold,gold,gold,silver,quit,quit,gold,NA,quit,gold,gold,NA,gold,NA,NA,NA,NA,NA,NA,silver,quit,silver,quit,gold,quit,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,6,8,8
C3104,2022-11-29T08:21:58Z,2022-11-29T08:22:23Z,2022-11-29T08:23:09Z,2022-11-29T08:23:40Z,2022-11-29T08:26:47Z,2022-11-29T08:27:27Z,2022-11-29T08:27:39Z,2022-11-29T08:29:28Z,2022-12-01T08:15:44Z,2022-11-29T08:33:13Z,2022-11-29T08:35:57Z,2022-11-29T08:37:53Z,2022-11-29T08:39:27Z,2022-12-01T08:22:16Z,2022-12-01T08:23:07Z,2022-12-01T08:24:46Z,2022-11-29T08:47:10Z,2022-12-01T08:27:02Z,2022-12-02T08:33:05Z,2022-11-30T08:30:52Z,2022-11-30T08:15:17Z,2022-11-30T08:27:08Z,2022-11-30T08:15:47Z,NA,2022-12-01T08:27:55Z,2022-12-01T08:43:12Z,2022-12-01T08:46:16Z,2022-12-02T08:08:20Z,2022-12-02T08:14:38Z,2022-12-02T08:21:33Z,2022-11-30T08:28:37Z,2022-12-02T08:24:31Z,silver,silver,silver,silver,silver,silver,gold,gold,gold,silver,silver,silver,gold,silver,gold,gold,gold,gold,gold,silver,silver,silver,gold,NA,gold,silver,silver,quit,silver,silver,silver,silver,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,19,11
C3429,2022-11-29T08:22:27Z,2022-11-29T08:22:46Z,2022-11-29T08:23:28Z,2022-11-29T08:24:11Z,2022-11-29T08:26:24Z,2022-11-29T08:27:36Z,2022-11-29T08:28:11Z,2022-11-29T08:29:20Z,2022-12-01T08:18:21Z,2022-11-29T08:34:01Z,2022-11-29T08:40:21Z,2022-11-29T08:42:01Z,2022-11-29T08:42:27Z,2022-12-01T08:21:22Z,2022-12-01T08:22:08Z,2022-12-01T08:22:39Z,2022-11-29T08:46:58Z,2022-12-01T08:24:43Z,2022-12-01T08:39:34Z,2022-11-30T08:21:33Z,2022-11-29T08:54:00Z,2022-11-30T08:18:09Z,2022-11-30T08:12:01Z,2022-11-30T08:50:54Z,2022-12-01T08:27:57Z,2022-12-01T08:29:22Z,2022-12-01T08:35:56Z,2022-12-01T08:36:43Z,2022-12-01T08:40:16Z,2022-12-01T08:46:12Z,2022-11-30T08:19:09Z,2022-12-01T08:37:39Z,quit,silver,silver,silver,silver,gold,gold,gold,quit,silver,gold,gold,gold,quit,silver,gold,gold,quit,gold,silver,silver,quit,quit,gold,quit,quit,gold,quit,gold,quit,gold,quit,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,11,8,13
C0022,2022-11-29T08:24:04Z,2022-11-29T08:25:35Z,2022-11-29T08:26:23Z,2022-11-29T08:28:29Z,2022-11-29T08:30:46Z,2022-11-29T08:31:05Z,2022-11-29T08:33:12Z,2022-11-29T08:35:11Z,2022-12-01T08:16:01Z,2022-11-29T08:43:41Z,2022-11-29T08:45:17Z,2022-11-29T08:49:32Z,2022-11-29T08:50:27Z,2022-12-01T08:17:52Z,2022-12-01T08:16:38Z,2022-12-01T08:21:11Z,2022-11-29T08:52:43Z,2022-12-01T08:22:54Z,2022-12-01T08:48:47Z,2022-11-30T08:14:05Z,2022-11-30T08:26:54Z,2022-11-30T08:20:11Z,2022-11-30T08:13:24Z,2022-11-30T08:16:01Z,2022-12-01T08:25:27Z,2022-12-01T08:44:31Z,2022-12-01T08:41:58Z,2022-12-01T08:43:34Z,2022-12-01T08:46:37Z,2022-12-01T08:47:24Z,2022-11-30T08:17:48Z,2022-12-01T08:44:51Z,silver,silver,silver,silver,silver,gold,gold,gold,quit,quit,gold,quit,gold,gold,gold,gold,quit,gold,quit,quit,silver,quit,silver,quit,quit,quit,quit,quit,quit,quit,gold,quit,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,15,7,10
F0044,2022-11-29T08:26:19Z,2022-11-29T08:26:47Z,2022-11-29T08:27:55Z,2022-11-29T08:28:51Z,2022-11-29T08:29:55Z,2022-11-29T08:30:14Z,2022-11-29T08:30:33Z,2022-11-29T08:32:32Z,2022-12-01T08:16:37Z,2022-11-30T08:10:19Z,2022-11-30T08:17:00Z,2022-11-30T08:18:40Z,2022-11-30T08:20:33Z,2022-12-01T08:19:12Z,2022-12-01T08:19:57Z,2022-12-01T08:20:50Z,2022-11-30T08:22:38Z,2022-12-01T08:26:13Z,2022-12-02T08:17:14Z,NA,2022-11-30T08:31:45Z,NA,NA,NA,2022-12-01T08:31:18Z,2022-12-01T08:36:33Z,2022-12-01T08:40:48Z,2022-12-01T08:41:09Z,2022-12-01T08:47:09Z,2022-12-01T08:49:42Z,NA,2022-12-01T08:51:00Z,silver,silver,silver,silver,silver,gold,gold,silver,gold,quit,gold,gold,quit,gold,silver,silver,gold,gold,silver,NA,quit,NA,NA,NA,silver,quit,gold,gold,silver,gold,NA,gold,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,2,1,1,1,NA,1,4,11,12
A0202,2022-11-29T08:27:43Z,2022-11-29T08:28:45Z,2022-11-29T08:29:25Z,2022-11-29T08:30:43Z,2022-11-29T08:32:18Z,2022-11-29T08:32:35Z,2022-11-29T08:32:57Z,2022-11-29T08:35:59Z,NA,2022-11-29T08:43:46Z,2022-11-29T08:47:52Z,2022-11-29T08:49:55Z,NA,2022-12-02T08:15:17Z,NA,NA,NA,NA,2022-12-02T08:20:25Z,NA,2022-11-30T08:25:10Z,NA,2022-11-30T08:31:41Z,NA,2022-12-02T08:15:57Z,NA,NA,NA,NA,2022-12-02T08:18:31Z,NA,2022-12-02T08:28:07Z,silver,silver,silver,silver,silver,gold,gold,gold,NA,quit,quit,quit,NA,quit,NA,NA,NA,NA,silver,NA,quit,NA,quit,NA,gold,NA,NA,NA,NA,quit,NA,silver,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,NA,1,NA,NA,NA,NA,1,NA,1,7,7,4
E0549,2022-11-29T08:28:26Z,2022-11-29T08:29:18Z,2022-11-29T08:29:52Z,2022-11-29T08:30:18Z,2022-11-29T08:32:53Z,NA,2022-11-29T08:33:27Z,2022-12-02T08:17:41Z,2022-11-29T08:35:06Z,2022-12-02T08:21:19Z,2022-12-02T08:22:37Z,2022-12-02T08:28:16Z,2022-12-02T08:29:19Z,2022-11-29T08:46:20Z,2022-11-29T08:47:29Z,2022-11-29T08:49:04Z,2022-12-02T08:31:01Z,2022-11-30T08:13:35Z,2022-12-01T08:22:39Z,NA,2022-12-02T08:32:50Z,NA,NA,NA,2022-11-30T08:16:10Z,2022-11-30T08:18:16Z,2022-11-30T08:21:36Z,2022-11-30T08:23:00Z,2022-11-30T08:30:02Z,2022-12-01T08:19:38Z,NA,2022-12-01T08:20:03Z,silver,silver,silver,silver,silver,NA,gold,silver,gold,gold,gold,gold,gold,quit,gold,silver,silver,silver,quit,NA,quit,NA,NA,NA,quit,quit,quit,quit,silver,gold,NA,quit,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,2,1,1,1,NA,1,8,10,8
C0066,2022-11-29T08:28:58Z,2022-11-29T08:29:24Z,2022-11-29T08:29:50Z,2022-11-29T08:30:26Z,2022-11-29T08:33:39Z,2022-11-29T08:33:57Z,2022-11-29T08:34:38Z,2022-11-29T08:37:08Z,2022-12-01T08:16:12Z,2022-11-29T08:44:08Z,2022-11-29T08:50:00Z,NA,2022-11-30T08:11:44Z,2022-12-01T08:20:41Z,2022-12-01T08:22:51Z,2022-12-01T08:23:49Z,2022-11-30T08:11:58Z,2022-12-01T08:24:38Z,NA,NA,2022-11-30T08:20:47Z,2022-11-30T08:30:28Z,2022-11-30T08:25:13Z,NA,2022-12-01T08:32:24Z,2022-12-01T08:40:10Z,2022-12-01T08:42:35Z,2022-12-01T08:44:03Z,2022-12-01T08:50:39Z,NA,NA,2022-12-02T08:18:02Z,quit,silver,silver,silver,silver,gold,gold,gold,gold,quit,quit,NA,gold,gold,gold,silver,gold,gold,NA,NA,gold,quit,gold,NA,silver,quit,gold,silver,quit,NA,NA,gold,1,1,1,1,1,1,1,2,1,1,1,NA,1,2,1,1,1,1,NA,NA,1,1,1,NA,1,1,1,1,1,NA,NA,1,6,7,13
D0213,2022-11-29T08:29:06Z,2022-11-29T08:29:57Z,2022-11-29T08:30:32Z,2022-11-29T08:33:35Z,2022-11-29T08:35:22Z,2022-12-01T08:25:04Z,2022-11-29T08:35:40Z,NA,2022-11-29T08:43:44Z,NA,NA,NA,2022-12-01T08:41:04Z,2022-11-29T08:45:05Z,2022-11-29T08:45:38Z,2022-11-29T08:47:34Z,2022-12-01T08:41:43Z,2022-11-29T08:49:17Z,NA,2022-12-02T08:24:43Z,2022-12-01T08:48:16Z,2022-12-02T08:19:23Z,2022-12-01T08:48:53Z,2022-12-02T08:30:30Z,2022-11-30T08:16:06Z,2022-11-30T08:32:01Z,NA,NA,NA,NA,2022-12-02T08:22:20Z,NA,silver,silver,silver,silver,silver,gold,gold,NA,quit,NA,NA,NA,gold,quit,gold,gold,gold,silver,NA,silver,silver,silver,gold,silver,silver,gold,NA,NA,NA,NA,gold,NA,1,1,1,1,1,1,1,NA,1,NA,NA,NA,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,2,11,9
F0235,2022-11-29T08:29:17Z,2022-11-29T08:31:02Z,2022-11-29T08:32:09Z,2022-11-29T08:33:04Z,2022-11-29T08:35:19Z,2022-11-29T08:36:54Z,2022-11-29T08:37:27Z,2022-11-29T08:41:27Z,2022-12-02T08:24:05Z,2022-11-29T08:45:48Z,2022-11-29T08:47:36Z,2022-11-29T08:49:17Z,2022-11-29T08:49:51Z,2022-12-02T08:25:21Z,2022-12-02T08:25:41Z,2022-12-02T08:26:34Z,2022-11-29T08:50:37Z,2022-12-02T08:27:31Z,NA,2022-11-30T08:43:10Z,2022-11-29T08:51:06Z,NA,2022-11-30T08:30:45Z,2022-11-30T08:14:43Z,NA,NA,NA,NA,NA,NA,2022-11-30T08:31:48Z,NA,silver,silver,silver,silver,silver,silver,gold,gold,gold,quit,quit,gold,quit,quit,gold,gold,quit,gold,NA,quit,quit,NA,quit,quit,NA,NA,NA,NA,NA,NA,gold,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,9,6,8
D0077,2022-11-29T08:29:45Z,2022-11-29T08:30:40Z,2022-11-29T08:32:02Z,2022-11-29T08:32:29Z,2022-11-29T08:36:29Z,2022-12-01T08:14:27Z,2022-11-29T08:36:53Z,2022-12-01T08:17:57Z,2022-11-29T08:38:00Z,2022-12-01T08:19:53Z,2022-12-01T08:22:57Z,2022-12-01T08:24:05Z,2022-12-01T08:24:23Z,2022-11-29T08:45:09Z,2022-11-29T08:46:15Z,2022-11-29T08:50:08Z,2022-12-01T08:26:19Z,NA,NA,2022-12-01T08:38:46Z,2022-12-01T08:31:03Z,2022-12-01T08:36:48Z,2022-12-01T08:32:05Z,2022-12-01T08:40:05Z,2022-11-30T08:14:09Z,2022-11-30T08:28:42Z,2022-11-30T08:31:43Z,NA,NA,NA,2022-12-01T08:38:15Z,NA,silver,silver,silver,silver,silver,gold,gold,quit,gold,gold,gold,gold,gold,gold,gold,gold,gold,NA,NA,gold,quit,quit,gold,gold,quit,gold,quit,NA,NA,NA,gold,NA,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,NA,NA,1,1,1,1,1,1,2,1,NA,NA,NA,1,NA,5,5,16
E0224,2022-11-29T08:30:16Z,2022-11-29T08:31:10Z,2022-11-29T08:32:17Z,2022-11-29T08:33:00Z,2022-11-29T08:37:16Z,2022-12-01T08:14:07Z,2022-11-29T08:38:03Z,2022-12-01T08:26:02Z,2022-11-29T08:43:40Z,2022-12-01T08:32:12Z,2022-12-01T08:37:55Z,2022-12-01T08:40:03Z,2022-12-01T08:40:39Z,2022-11-29T08:45:03Z,2022-11-29T08:45:43Z,2022-11-29T08:46:24Z,2022-12-01T08:43:39Z,2022-11-29T08:48:53Z,2022-11-29T08:49:10Z,2022-12-02T08:28:43Z,2022-12-01T08:46:40Z,2022-12-02T08:15:45Z,2022-12-01T08:47:28Z,2022-12-02T08:30:36Z,2022-11-30T08:13:10Z,2022-11-30T08:30:25Z,NA,NA,NA,NA,2022-12-02T08:17:09Z,NA,silver,silver,silver,silver,silver,gold,silver,gold,quit,quit,silver,gold,gold,quit,gold,gold,silver,quit,quit,quit,silver,silver,gold,silver,quit,gold,NA,NA,NA,NA,gold,NA,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,NA,NA,NA,NA,1,NA,7,11,9
E0550,2022-11-29T08:31:03Z,2022-11-29T08:31:48Z,2022-11-29T08:32:22Z,2022-11-29T08:34:39Z,2022-11-29T08:35:56Z,2022-12-02T08:15:22Z,2022-11-29T08:36:49Z,2022-12-02T08:18:57Z,2022-11-29T08:42:37Z,2022-12-02T08:24:50Z,NA,NA,NA,2022-11-29T08:44:11Z,2022-11-29T08:47:33Z,2022-11-29T08:48:08Z,NA,2022-11-29T08:53:45Z,NA,NA,NA,NA,NA,NA,2022-11-30T08:14:34Z,2022-11-30T08:17:12Z,2022-11-30T08:23:33Z,2022-11-30T08:26:02Z,2022-11-30T08:28:11Z,2022-12-01T08:26:31Z,NA,NA,silver,silver,silver,silver,silver,silver,silver,silver,silver,quit,NA,NA,NA,silver,silver,silver,NA,silver,NA,NA,NA,NA,NA,NA,quit,quit,gold,quit,quit,quit,NA,NA,2,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,6,13,1
D2608,2022-11-29T08:31:49Z,2022-11-29T08:32:38Z,2022-11-29T08:33:17Z,2022-11-29T08:33:33Z,2022-11-29T08:35:24Z,2022-12-02T08:17:23Z,2022-11-29T08:35:42Z,2022-12-02T08:22:00Z,2022-11-29T08:37:54Z,2022-12-02T08:28:00Z,2022-12-02T08:31:25Z,2022-12-02T08:32:32Z,2022-12-02T08:37:35Z,2022-11-29T08:53:12Z,2022-11-29T08:54:00Z,NA,2022-12-02T08:44:59Z,2022-11-30T08:31:16Z,NA,NA,2022-12-02T08:47:07Z,NA,2022-12-02T08:47:44Z,NA,2022-11-30T08:26:51Z,2022-12-01T08:33:45Z,2022-11-30T08:52:42Z,2022-12-01T08:14:40Z,2022-12-01T08:25:46Z,2022-12-01T08:41:06Z,NA,2022-12-01T08:43:30Z,silver,silver,silver,silver,silver,silver,gold,gold,gold,silver,silver,gold,gold,silver,gold,NA,gold,gold,NA,NA,silver,NA,gold,NA,silver,silver,gold,silver,silver,silver,NA,silver,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,NA,1,1,NA,NA,2,NA,1,NA,2,1,2,2,1,1,NA,1,0,16,10
F3047,2022-11-29T08:32:59Z,2022-11-29T08:34:15Z,2022-11-29T08:34:40Z,2022-11-29T08:41:03Z,2022-11-29T08:42:36Z,2022-11-29T08:43:20Z,2022-11-29T08:47:59Z,2022-11-29T11:12:59Z,2022-12-01T11:16:39Z,2022-11-29T11:14:05Z,2022-11-29T11:18:01Z,2022-11-29T11:19:48Z,2022-11-29T11:20:48Z,2022-12-01T11:17:02Z,2022-12-01T11:19:02Z,2022-12-01T11:19:21Z,NA,2022-12-02T11:16:09Z,2022-12-02T11:05:46Z,2022-11-29T08:49:48Z,NA,NA,2022-11-30T11:03:03Z,2022-11-30T11:03:51Z,2022-12-01T11:21:50Z,2022-12-02T11:04:07Z,2022-12-02T11:04:25Z,NA,2022-12-02T11:18:32Z,2022-12-02T11:10:39Z,NA,2022-12-01T11:32:55Z,silver,silver,silver,quit,silver,gold,gold,gold,gold,gold,gold,quit,quit,quit,gold,quit,NA,quit,quit,quit,NA,NA,quit,quit,quit,quit,quit,NA,quit,quit,NA,quit,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,1,1,NA,1,1,NA,1,16,4,7
A0011,2022-11-29T08:33:40Z,2022-11-29T08:36:44Z,2022-11-29T08:37:36Z,2022-11-29T08:42:24Z,2022-11-29T08:46:14Z,2022-11-29T08:46:35Z,2022-11-29T08:46:54Z,2022-11-29T08:51:23Z,2022-12-01T08:32:02Z,2022-11-30T08:19:24Z,2022-11-30T08:29:52Z,NA,NA,2022-12-01T08:40:37Z,2022-12-01T08:41:53Z,2022-12-01T08:46:27Z,NA,2022-12-01T08:48:43Z,NA,NA,NA,NA,NA,NA,2022-12-01T08:51:19Z,2022-12-02T08:18:51Z,2022-12-02T08:20:37Z,2022-12-02T08:32:00Z,NA,NA,NA,NA,silver,silver,silver,silver,silver,gold,gold,gold,gold,quit,gold,NA,NA,gold,gold,gold,NA,gold,NA,NA,NA,NA,NA,NA,silver,quit,silver,gold,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA,2,1,2,NA,2,NA,NA,NA,NA,NA,NA,2,1,1,1,NA,NA,NA,NA,2,7,10
E3610,2022-11-29T09:08:04Z,2022-11-29T09:09:35Z,2022-11-29T09:11:04Z,2022-11-29T09:14:56Z,2022-12-01T09:20:55Z,2022-12-01T09:21:13Z,2022-11-29T09:15:12Z,2022-12-01T09:24:04Z,2022-11-29T09:17:36Z,2022-12-01T09:26:28Z,2022-12-01T09:29:16Z,2022-12-01T09:32:32Z,2022-12-01T09:35:08Z,2022-11-29T09:20:44Z,2022-11-29T09:21:34Z,2022-11-29T09:23:55Z,2022-12-01T09:38:00Z,2022-11-30T09:11:55Z,2022-11-29T09:39:31Z,2022-12-02T09:33:28Z,2022-12-02T09:14:37Z,2022-12-02T09:24:41Z,2022-12-02T09:16:56Z,NA,2022-11-29T09:32:03Z,2022-11-29T09:33:07Z,2022-11-29T09:35:04Z,2022-11-30T09:20:23Z,2022-11-29T09:36:08Z,NA,2022-12-02T09:27:13Z,NA,silver,silver,silver,quit,silver,gold,gold,gold,quit,quit,quit,quit,quit,quit,gold,gold,gold,silver,quit,quit,gold,quit,silver,NA,quit,quit,quit,gold,quit,NA,silver,NA,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,NA,1,1,1,1,1,NA,1,NA,14,7,8
E3632,2022-11-29T09:08:52Z,2022-11-29T09:10:26Z,2022-11-29T09:11:05Z,2022-11-29T09:11:46Z,2022-11-29T09:13:59Z,2022-12-02T09:13:09Z,2022-11-29T09:14:18Z,2022-12-02T09:14:10Z,2022-11-29T09:14:59Z,2022-12-02T09:19:49Z,2022-12-02T09:21:58Z,2022-12-02T09:22:50Z,2022-12-02T09:23:47Z,2022-11-29T09:18:33Z,2022-11-29T09:19:20Z,2022-11-29T09:20:03Z,2022-12-02T09:25:50Z,2022-11-29T09:24:02Z,2022-11-29T09:40:39Z,2022-12-02T09:32:54Z,2022-12-02T09:26:43Z,2022-12-02T09:29:39Z,2022-12-02T09:29:15Z,2022-12-02T09:33:29Z,2022-11-29T09:24:51Z,2022-11-29T09:25:38Z,2022-11-29T09:29:01Z,2022-11-29T09:31:36Z,2022-11-29T09:32:30Z,2022-11-29T09:33:42Z,2022-12-02T09:29:56Z,2022-11-29T09:38:22Z,silver,silver,silver,silver,silver,gold,gold,quit,gold,quit,quit,gold,gold,quit,gold,gold,silver,silver,gold,silver,quit,quit,silver,quit,silver,quit,quit,quit,quit,quit,gold,silver,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,11,9
