StudyID,ID1,ID2,Midtest,Posttest,Condition,CognitiveSupports,AffectiveECD,AffectivePOT,Progress,Duration (in seconds),Finished,RecordedDate,Age,Sex,American Indian or Alaska Native,Asian,Black or African American,Hispanic,Native Hawaiian or Pacific Islander,White,Other (enter),Prefer not to say,Other_TEXT,Gaming,Physics,A-NQ1,A-NQ2,A-NQ3,A-NQ4,A-NQ5,A-NQ6,A-NQ7,A-NQ8,A-NQ9,A-NQ10,A-NQ11,A-NQ12,A-NQ13,A-NQ14,A-FQ1,A-FQ2,A-FQ3,A-FQ4,A-FQ5,A-FQ6,A-FQ7,A-FQ8,A-FQ9,A-FQ10,A-FQ11,A-FQ12,A-FQ13,A-FQ14,SC0,Gender,Ethnicity,A-NQ1_scored,A-NQ2_scored,A-NQ3_scored,A-NQ4_scored,A-NQ5_scored,A-NQ6_scored,A-NQ7_scored,A-NQ8_scored,A-NQ9_scored,A-NQ10_scored,A-NQ11_scored,A-NQ12_scored,A-NQ13_scored,A-NQ14_scored,A-FQ1_scored,A-FQ2_scored,A-FQ3_scored,A-FQ4_scored,A-FQ5_scored,A-FQ6_scored,A-FQ7_scored,A-FQ8_scored,A-FQ9_scored,A-FQ10_scored,A-FQ11_scored,A-FQ12_scored,A-FQ13_scored,A-FQ14_scored,NearECT,FarECT,NearPOT,FarPOT,Near,Far,ECT,POT,PhysicsScore,Progress.ect,Duration (in seconds).ect,Finished.ect,RecordedDate.ect,IMI_1,IMI_2,IMI_3,IMI_4,IMI_5,IMI_6,IMI_7,IMI_8,IMI_9,IMI_10,IMI_11,IMI_12,IMI_13,IMI_14,IMI_15,IMI_16,IMI_17,IMI_18,A-NQ1.ect,A-NQ2.ect,A-NQ3.ect,A-NQ4.ect,A-NQ5.ect,A-NQ6.ect,A-NQ7.ect,A-NQ8.ect,A-NQ12.ect,A-NQ13.ect,A-NQ14.ect,A-FQ1.ect,A-FQ2.ect,A-FQ3.ect,A-FQ4.ect,A-FQ5.ect,A-FQ6.ect,A-FQ7.ect,A-FQ8.ect,Q90,Q74,PA1,PA2,PA3,PA4,PA5,PA6,PA7,SC0.ect,A-NQ1_scored.ect,A-NQ2_scored.ect,A-NQ3_scored.ect,A-NQ4_scored.ect,A-NQ5_scored.ect,A-NQ6_scored.ect,A-NQ7_scored.ect,A-NQ8_scored.ect,A-NQ12_scored.ect,A-NQ13_scored.ect,A-NQ14_scored.ect,A-FQ1_scored.ect,A-FQ2_scored.ect,A-FQ3_scored.ect,A-FQ4_scored.ect,A-FQ5_scored.ect,A-FQ6_scored.ect,A-FQ7_scored.ect,A-FQ8_scored.ect,NearECTpost,FarECTpost,ECTpost,IMI,IMI_Enj,IMI_Eng,IMI_PC,IMI_Effort,IMI_Frust,IMI_Value,PA,Progress.pot,Duration (in seconds).pot,Finished.pot,RecordedDate.pot,IMI_1.pot,IMI_2.pot,IMI_3.pot,IMI_4.pot,IMI_5.pot,IMI_6.pot,IMI_7.pot,IMI_8.pot,IMI_9.pot,IMI_10.pot,IMI_11.pot,IMI_12.pot,IMI_13.pot,IMI_14.pot,IMI_15.pot,IMI_16.pot,IMI_17.pot,IMI_18.pot,A-NQ9.pot,A-NQ10.pot,A-NQ11.pot,A-NQ12.pot,A-NQ13.pot,A-NQ14.pot,A-FQ9.pot,A-FQ10.pot,A-FQ11.pot,A-FQ12.pot,A-FQ13.pot,A-FQ14.pot,Q90.pot,Q74.pot,PA1.pot,PA2.pot,PA3.pot,PA4.pot,PA5.pot,PA6.pot,PA7.pot,SC0.pot,A-NQ9_scored.pot,A-NQ10_scored.pot,A-NQ11_scored.pot,A-NQ12_scored.pot,A-NQ13_scored.pot,A-NQ14_scored.pot,A-FQ9_scored.pot,A-FQ10_scored.pot,A-FQ11_scored.pot,A-FQ12_scored.pot,A-FQ13_scored.pot,A-FQ14_scored.pot,NearPOTpost,FarPOTpost,POTpost,IMI.pot,IMI_Enj.pot,IMI_Eng.pot,IMI_PC.pot,IMI_Effort.pot,IMI_Frust.pot,IMI_Value.pot,PA.pot
F0358,375fd1,375fd2,ECT,POT,F,FALSE,FALSE,FALSE,100,487,1,2022-11-28T16:05:13Z,12,Female,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Never,Yes,Draw the object closer to the center of the lever,More than before,A,Both,Dropped from point B,No difference,Attach a weight to the springboard and then release,A,B,A,Make the blue stick longer,B,All would work,Attach a light weight on point A,The ball in picture B,B will be launched higher than A,A and B will move at the same speed,Somewhere between Position 2 and Position 3,The blue cart,the least at A,Increase the mass of weight B,The first dive bent the board less than the second dive, Replace 4 kg with 8 kg and move it to point B,Lynn, Greater than 1 m,A,Moving the object won't make a difference, less,11,Female,White,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,4,3,2,3,6,6,7,5,12,100,542,1,2022-11-30T16:29:38Z,5,4,6,3,4,1,1,4,3,4,4,4,2,1,1,1,3,5,Draw the object closer to the center of the lever,Less than before,B,Both,Dropped from point A,The blue box ,Attach a weight to the springboard and then release,C,A,C,Attach a heavy weight on point B,The balls will move at the same speed,A and B will be launched the same height because both masses start at the same height,B will be faster than A,Somewhere above Position 3,The blue cart,the least at B,Decrease the mass of the ball,The first dive bent the board less than the second dive,NA,5,NA,NA,NA,NA,NA,NA,NA,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,2,3,5,56,9,13,9,14,3,8,0,100,248,1,2022-12-02T16:24:47Z,1,4,3,2,4,1,1,2,2,5,5,5,7,1,1,1,1,5,B,B,Increase green ball's mass,Both will reach the same height,B,Attach a heavy weight on point B, Both,Tom, Greater than 1 m,B,By moving the object farther from the tree trunk,  the same,F0358,5,NA,NA,NA,NA,NA,NA,NA,3,1,0,0,0,0,1,0,0,0,1,0,0,3,3,6,51,5,9,6,22,3,6,0
C0369,159cd1,159cd2,ECT,POT,C,TRUE,TRUE,FALSE,100,1498,1,2022-11-28T17:50:54Z,12,Male,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Every day,Yes,Draw an object with a larger mass,More than before,No difference,A,Dropped from point C,The blue box ,None of the above,A,B,A,Decrease green ball's mass,B,A,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,B will be faster than A,Somewhere above Position 3,The blue cart,the least at B,Decrease the mass of the ball,The first dive bent the board less than the second dive, Replace 4 kg with 8 kg and move it to point B,Lynn,Less than 1 m,B,By moving the object closer to the tree trunk, less,19,Male,White,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,5,4,5,6,10,10,9,11,20,100,771,1,2022-11-30T18:06:30Z,7,7,7,7,4,4,2,3,3,7,7,7,6,1,1,1,7,6,Draw an object with a larger mass,More than before,A,A,Dropped from point C,The blue box ,Attach a weight to the springboard and then release,A,B,C,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,B will be faster than A,Somewhere between Position 2 and Position 3,The blue cart,the least at B,Increase the mass of the ball,The first dive bent the board less than the second dive,C0369,4,NA,NA,NA,NA,NA,NA,NA,14,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,1,1,6,5,11,87,14,18,12,27,3,13,0,100,415,1,2022-12-02T18:01:00Z,7,7,7,7,4,4,3,3,5,7,7,7,7,1,1,1,7,4,B,A,NA,B,B,Attach a heavy weight on point B, Both,Lynn,Less than 1 m,B,By moving the object farther from the tree trunk, less,C0369,4,2,1,2,1,0,2,2,7,1,0,0,1,0,1,0,1,1,1,0,1,2,2,4,89,14,18,15,28,3,11,10
D0370,222dd1,222dd2,POT,ECT,D,TRUE,FALSE,TRUE,100,1114,1,2022-11-28T17:44:14Z,12,Female,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Once a month or less,Yes,Draw an object with a larger mass,More than before,A,B,Dropped from point C,The red box ,Attach a weight to the springboard and then release,All points will have the same effect on the ball,B,C,Decrease green ball's mass,B,A,Attach a heavy weight on point B,The balls will move at the same speed,A and B will be launched the same height because both masses start at the same height,B will be faster than A,Position 2,The blue cart,the least at A,Decrease the mass of the ball,The first dive bent the board less than the second dive, Replace 4 kg with 8 kg and move it to point B,Lynn, Equal to 1 m,Both will have the same effect on the acrobat,By moving the object closer to the tree trunk, less,17,Female,White,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,4,2,6,4,10,6,6,10,16,100,651,1,2022-12-02T18:04:29Z,3,3,4,5,4,2,2,3,4,4,6,6,6,1,4,3,3,3,Draw an object with a larger mass,More than before,No difference,A,Dropped from point A,The red box ,Attach a weight to the springboard and then release,A,B,B,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Somewhere between Position 2 and Position 3,The blue cart,the least at A,Decrease the mass of the ball,The first dive bent the board less than the second dive,D0370,4,3,2,2,2,3,2,4,13,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,5,4,9,66,6,13,11,22,8,6,18,100,504,1,2022-11-30T18:01:31Z,2,4,2,1,5,1,1,4,5,6,6,5,4,1,1,1,5,5,B,C,NA,B,B,Attach a heavy weight on point B, Replace 4 kg with 8 kg and move it to point B,Lynn, Equal to 1 m,Both will have the same effect on the acrobat,By moving the object closer to the tree trunk, less,D0370,4,3,3,2,3,3,4,3,11,1,1,0,1,0,1,1,1,0,0,1,1,5,3,8,59,6,8,11,21,3,10,21
E0381,307ed1,307ed2,POT,ECT,E,FALSE,FALSE,FALSE,100,907,1,2022-11-28T17:40:55Z,12,Female,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3-4 times a week,Yes,Draw an object with a larger mass,More than before,B,A,Dropped from point A,No difference,Attach a weight to the springboard and then release,A,B,C,Decrease green ball's mass,B,B,Attach a heavy weight on point A,The ball in picture A,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Somewhere between Position 2 and Position 3,The blue cart,always constant,Increase the mass of the ball,The first dive bent the board less than the second dive, Replace 4 kg with 8 kg and move it to point B,Lynn,Less than 1 m,B,By moving the object closer to the tree trunk,more information is needed,22,Female,Black or African American,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,7,5,4,5,11,10,12,9,21,100,469,1,2022-12-02T18:02:10Z,7,7,7,7,4,7,7,6,7,7,2,6,6,4,4,3,7,7,Draw an object with a larger mass,More than before,B,A,Dropped from point A,The red box ,Attach a weight to the springboard and then release,A,B,B,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,B will be faster than A,Somewhere between Position 2 and Position 3,The blue cart,the least at C,Increase the mass of the ball,The first dive bent the board less than the second dive,E0381,5,NA,NA,NA,NA,NA,NA,NA,14,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,1,6,4,10,105,14,18,27,21,11,14,0,100,486,1,2022-11-30T18:01:23Z,6,7,7,7,7,7,6,5,6,6,7,7,6,3,2,2,7,7,B,C,NA,B,B,Attach a heavy weight on point B, Both,Lynn,Less than 1 m,B,By moving the object closer to the tree trunk, less,E0381,5,NA,NA,NA,NA,NA,NA,NA,10,1,1,0,1,0,1,0,1,1,1,1,1,1,4,5,105,13,21,24,26,7,14,0
E0392,273ed1,273ed2,POT,ECT,E,FALSE,FALSE,FALSE,100,1281,1,2022-11-28T16:17:42Z,12,Male,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Every day,Yes,None of the above would help,More than before,No difference,A,Dropped from point A,The blue box ,None of the above,A,Not enough information,All would work,Decrease green ball's mass,B,All would work,Attach a heavy weight on point A,The ball in picture B,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Position 2,The red cart,the least at B,More information is needed to answer the question,The first dive bent the board less than the second dive,Neither,Tom,Less than 1 m,B,Moving the object won't make a difference, less,11,Male,Black or African American,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,3,3,2,3,5,6,6,5,11,100,569,1,2022-12-02T16:29:58Z,7,6,6,7,5,4,6,7,4,7,6,6,7,1,4,7,5,7,Draw an object with a larger mass,More than before,No difference,B,Dropped from point C,The blue box ,None of the above,All points will have the same effect on the ball,B,C,Attach a heavy weight on point B,The balls will move at the same speed,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Somewhere between Position 2 and Position 3,Both will have the same speed,the least at B,Decrease the mass of the ball,The first dive bent the board less than the second dive,E0392,5,NA,NA,NA,NA,NA,NA,NA,9,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,3,3,6,102,13,18,21,26,12,12,0,100,596,1,2022-11-30T16:30:33Z,6,5,6,6,5,NA,3,6,4,5,7,6,6,1,4,6,4,7,B,All would work,Increase green ball's mass,B,A,Attach a heavy weight on point B,Replace 4 kg with 8 kg and move it to point A,Lynn, Equal to 1 m,B,Moving the object won't make a difference, less,E0392,5,NA,NA,NA,NA,NA,NA,NA,5,1,0,0,1,1,1,0,1,0,1,0,1,5,4,9,87,11,17,13,24,11,11,0
B0415,103bd1,103bd2,POT,ECT,B,TRUE,TRUE,FALSE,100,1371,1,2022-11-28T16:20:01Z,13,Female,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Once a month or less,Yes,Draw an object with a larger mass,More than before,B,B,Dropped from point C,No difference,Attach a weight to the springboard ,B,A ,B,Increase green ball's mass,B,B,Attach a heavy weight on point B,The ball in picture A,B will be launched higher than A,A and B will move at the same speed,Position 3,The red cart,the least at A,Increase the mass of the ball,The first dive bent the board less than the second dive,Replace 4 kg with 8 kg and move it to point A,Lynn, Greater than 1 m,A,Moving the object won't make a difference, less,14,Female,White,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,5,5,2,2,7,7,10,4,14,100,697,1,2022-12-02T16:33:00Z,4,5,6,6,3,4,5,4,3,4,7,3,3,NA,6,3,4,4,Draw an object with a larger mass,More than before,B,A,No difference,The blue box ,Attach a weight to the springboard and then release,B,B,B,Attach a heavy weight on point B,The ball in picture B,B will be launched higher than A,B will be faster than A,Position 3,The red cart,the least at A,Decrease the mass of the ball,The second dive bent the board less than the first dive,B0415,4,3,2,2,3,3,3,4,9,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,5,2,7,74,9,15,16,17,9,8,20,100,619,1,2022-11-30T16:31:20Z,7,6,6,6,6,5,2,7,2,3,6,2,5,3,6,6,6,6,A ,A,Increase green ball's mass,A,C,Attach a light weight on point A,Neither,Tom,Less than 1 m,A,By moving the object farther from the tree trunk, less,B0415,5,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,1,0,0,1,4,5,9,90,13,18,16,16,15,12,0
A0426,033ad1,033ad2,ECT,POT,A,TRUE,FALSE,TRUE,100,1248,1,2022-11-28T16:17:06Z,12,Female,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,3-4 times a week,Yes,Draw an object with a larger mass,More than before,A,Neither of them,Dropped from point C,The red box ,Attach a weight to the springboard and then release,A,No difference,C,Decrease green ball's mass,A,B,Attach a heavy weight on point B,The ball in picture A,A will be launched higher than B,B will be faster than A,Somewhere between Position 2 and Position 3,The blue cart,always constant,Increase the mass of the ball,The second dive bent the board less than the first dive, Replace 4 kg with 8 kg and move it to point B,Tom,Less than 1 m,Both will have the same effect on the acrobat,By moving the object farther from the tree trunk, less,16,Female,Black or African American,1,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,5,3,3,3,8,6,8,6,14,100,837,1,2022-11-30T16:35:14Z,3,4,5,4,7,1,4,2,5,2,4,2,4,6,7,3,2,2,Draw an object with a larger mass,More than before,No difference,B,Dropped from point C,No difference,Attach a weight to the springboard and then release,A,B,A,Attach a heavy weight on point B,The ball in picture A,B will be launched higher than A,B will be faster than A,Position 3,The blue cart,always constant,Decrease the mass of the ball,The second dive bent the board less than the first dive,A0426,4,2,5,2,4,4,4,5,11,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,6,4,10,67,7,16,12,12,16,4,26,100,575,1,2022-12-02T16:31:00Z,2,5,6,5,2,2,3,NA,4,5,5,2,4,2,5,2,2,4,B,B,Increase green ball's mass,B,A,Attach a heavy weight on point B, Replace 4 kg with 8 kg and move it to point B,Tom, Greater than 1 m,Both will have the same effect on the acrobat,By moving the object farther from the tree trunk, less,A0426,5,NA,NA,NA,NA,NA,NA,NA,6,1,0,0,1,1,1,1,0,0,0,0,1,1,4,5,60,7,13,9,16,9,6,0
C0437,193cd1,193cd2,ECT,POT,C,TRUE,TRUE,FALSE,100,1132,1,2022-11-28T16:15:51Z,13,Female,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,NA,Once a month or less,Yes,Draw an object with a larger mass,More than before,B,B,Dropped from point C,The blue box ,Attach a weight to the springboard ,A,A ,C,Make the blue stick longer,B,A,Attach a light weight on point B,The ball in picture B,A will be launched higher than B,B will be faster than A,Position 3,The blue cart,the least at B,Decrease the mass of the ball,The first dive bent the board less than the second dive, Replace 4 kg with 8 kg and move it to point B,Lynn, Greater than 1 m,B,By moving the object closer to the tree trunk, less,15,Female,NA,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,5,4,3,5,8,9,9,8,17,100,830,1,2022-11-30T16:34:20Z,7,6,7,3,6,NA,3,5,4,7,6,6,4,1,1,4,7,7,Draw an object with a larger mass,More than before,B,A,Dropped from point C,The blue box ,Attach a weight to the springboard ,A,B,B,Attach a light weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,B will be faster than A,Position 3,The blue cart,the least at A,Increase the mass of weight B,The second dive bent the board less than the first dive,C0437,4,1,1,1,0,2,1,1,12,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,6,3,9,84,13,16,12,23,6,14,7,100,393,1,2022-12-02T16:26:54Z,6,6,7,3,4,7,6,6,1,3,4,1,7,1,1,1,6,4,B,B,NA,B,C,Attach a light weight on point B,Replace 4 kg with 8 kg and move it to point A,Tom,Less than 1 m,B,By making the object heavier, less,C0437,4,1,2,3,2,2,0,1,4,1,0,0,1,0,0,0,0,1,1,0,1,6,4,10,74,12,14,20,15,3,10,11
E0448,309ed1,309ed2,POT,ECT,E,FALSE,FALSE,FALSE,100,1154,1,2022-11-28T17:44:00Z,13,Female,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Every day,Yes,Draw an object with a larger mass,More than before,B,A,No difference,The blue box ,Attach a weight to the springboard and then release,A,No difference,A,Decrease green ball's mass,B,B,Attach a heavy weight on point B,The ball in picture A,More information is needed to answer the question,A will be faster than B,Somewhere between Position 2 and Position 3,The blue cart,the least at B,Increase the mass of the ball,The first dive bent the board less than the second dive, Replace 4 kg with 8 kg and move it to point B,Tom, Greater than 1 m,Both will have the same effect on the acrobat,By moving the object closer to the tree trunk, more,19,Female,Black or African American,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,6,6,3,2,9,8,12,5,17,100,701,1,2022-12-02T18:02:01Z,6,7,7,6,7,3,2,6,5,5,6,6,7,1,1,2,6,3,Draw an object with a larger mass,More than before,No difference,A,Dropped from point C,The blue box ,Attach a weight to the springboard and then release,A,B,B,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Somewhere between Position 2 and Position 3,The blue cart,always constant,Increase the mass of the ball,The first dive bent the board less than the second dive,E0448,5,NA,NA,NA,NA,NA,NA,NA,15,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,1,1,6,5,11,86,13,20,16,24,4,9,0,100,497,1,2022-11-30T18:01:45Z,4,3,7,7,5,2,2,1,4,6,7,6,6,1,1,1,4,3,B,A,NA,B,B,Attach a heavy weight on point B, Replace 4 kg with 8 kg and move it to point B,Tom,Less than 1 m,Both will have the same effect on the acrobat,By moving the object closer to the tree trunk, more,E0448,5,NA,NA,NA,NA,NA,NA,NA,8,1,0,0,1,0,1,1,0,1,0,1,0,2,4,6,70,7,19,9,25,3,7,0
A0459,040ad1,040ad2,ECT,POT,A,TRUE,FALSE,TRUE,100,910,1,2022-11-28T16:14:01Z,12,Male,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Every day,Yes,Draw an object with a larger mass,More than before,B,A,Dropped from point C,The red box ,Attach a weight to the springboard and then release,A,B,C,Decrease green ball's mass,B,B,Attach a heavy weight on point B,The ball in picture A,B will be launched higher than A,A will be faster than B,Somewhere above Position 3,The blue cart,the least at C,Increase the mass of weight B,The first dive bent the board less than the second dive, Replace 4 kg with 8 kg and move it to point B,Tom,Less than 1 m,B,By moving the object closer to the tree trunk, less,21,Male,White,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,7,5,5,5,12,10,12,10,22,100,535,1,2022-11-30T16:30:42Z,7,6,7,7,6,4,5,4,6,7,6,6,6,1,1,2,6,5,Draw an object with a smaller mass,More than before,B,A,Dropped from point C,The red box ,Increase the mass of the ball,B,B,B,Attach a heavy weight on point B,The ball in picture A,B will be launched higher than A,A will be faster than B,Somewhere above Position 3,The blue cart,the least at C,Increase the mass of the ball,We don’t know because she already jumped,A0459,4,5,4,3,3,1,1,1,11,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,4,5,9,92,13,20,19,25,4,11,18,100,380,1,2022-12-02T16:28:16Z,6,6,6,7,4,4,6,7,6,6,6,6,5,1,1,1,6,7,B,C,NA,B,B,Attach a heavy weight on point B, Both,Tom,Less than 1 m,B,By moving the object closer to the tree trunk, less,A0459,4,1,1,2,0,4,1,1,8,1,1,0,1,0,1,0,0,1,1,1,1,4,2,6,91,12,17,23,23,3,13,10
A0471,016ad1,016ad2,ECT,POT,A,TRUE,FALSE,TRUE,100,703,1,2022-11-28T16:09:53Z,13,Male,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Never,No,Draw an object with a larger mass,The same as before,A,Neither of them,Dropped from point C,The red box ,Attach a weight to the springboard and then release,A,Not enough information,C,Make the blue stick longer,B,All would work,Attach a light weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,A and B will move at the same speed,Position 2,The blue cart,the least at C,Increase the mass of the ball,The first dive bent the board less than the second dive, Both,They both have an equal effect on the door’s movement, Equal to 1 m,Not enough information,By making the object heavier, less,12,Male,White,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,4,4,2,1,6,5,8,3,11,100,602,1,2022-11-30T16:30:48Z,4,4,1,6,4,1,1,4,4,7,4,4,4,4,7,4,1,4,Draw an object with a larger mass,The same as before,Not enough information,A,Dropped from point C,The blue box ,Attach a weight to the springboard ,B,B,A,Attach a light weight on point B,The ball in picture A,B will be launched higher than A,A will be faster than B,Position 3,The blue cart,always constant,Increase the mass of weight B,The second dive bent the board less than the first dive,A0471,4,5,5,5,4,4,4,5,8,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,3,5,8,68,8,11,10,19,15,5,32,100,490,1,2022-12-02T16:29:49Z,1,1,1,4,2,1,1,1,7,3,5,4,4,7,7,1,1,1,B,A,NA,B,A,Attach a heavy weight on point A, Replace 4 kg with 8 kg and move it to point B,Not enough information, Equal to 1 m,B,By making the object heavier, less,A0471,4,5,5,5,4,4,0,5,5,1,0,0,1,1,0,1,0,0,1,0,1,5,3,8,52,2,7,10,16,15,2,28
B0482,112bd1,112bd2,POT,ECT,B,TRUE,TRUE,FALSE,100,1352,1,2022-11-28T16:21:27Z,12,Female,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,Once a week,Yes,Draw an object with a larger mass,More than before,A,A,Dropped from point C,The red box ,Attach a weight to the springboard and then release,A,B,C,Decrease green ball's mass,B,C,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Position 2,The blue cart,the least at B,Increase the mass of the ball,The first dive bent the board less than the second dive, Both,Lynn, Greater than 1 m,Both will have the same effect on the acrobat,By moving the object closer to the tree trunk, less,22,Female,Mixed,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,6,6,5,3,11,9,12,8,20,100,633,1,2022-12-02T16:30:39Z,4,2,6,4,7,6,4,4,5,7,1,7,7,1,3,1,3,4,Draw an object with a larger mass,More than before,B,A,Dropped from point A,The red box ,Attach a weight to the springboard and then release,A,B,B,Attach a heavy weight on point B,The ball in picture B,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Position 2,The blue cart,the least at B,Increase the mass of the ball,The first dive bent the board less than the second dive,B0482,4,2,2,2,3,3,1,3,15,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,6,5,11,76,6,17,19,22,5,7,16,100,528,1,2022-11-30T16:30:29Z,2,2,3,7,6,2,1,2,2,7,7,7,7,1,2,1,3,1,B,C,NA,B,A,Attach a heavy weight on point B, Replace 4 kg with 8 kg and move it to point B,Lynn, Greater than 1 m,B,By moving the object closer to the tree trunk, less,NA,4,2,2,2,2,2,1,2,9,1,1,0,1,1,1,1,1,0,1,1,1,3,3,6,63,4,16,7,28,4,4,13
E0505,282ed1,282ed2,POT,ECT,E,FALSE,FALSE,FALSE,100,712,1,2022-11-28T14:22:16Z,13,Female,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Every day,Yes,Draw an object with a larger mass,More than before,A,B,Dropped from point C,The red box ,None of the above,A,B,C,Make the blue stick longer,B,B,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,B will be faster than A,Somewhere above Position 3,The blue cart,the least at C,Increase the mass of the ball,The first dive bent the board less than the second dive, Replace 4 kg with 8 kg and move it to point B,Lynn,Less than 1 m,A,By moving the object closer to the tree trunk, less,19,Female,White,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,4,4,4,5,8,9,8,9,17,100,477,1,2022-12-02T14:38:35Z,4,4,4,3,3,3,3,4,NA,3,5,4,3,4,5,4,3,4,Draw an object with a larger mass,More than before,B,B,Dropped from point C,The red box ,Attach a weight to the springboard and then release,A,B,B,Attach a heavy weight on point B,The ball in picture A,A and B will be launched the same height because both masses start at the same height,A will be faster than B,Somewhere between Position 2 and Position 3,The blue cart,the least at B,Increase the mass of the ball,The first dive bent the board less than the second dive,E0505,5,NA,NA,NA,NA,NA,NA,NA,16,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,6,6,12,63,8,10,10,15,13,7,0,100,305,1,2022-11-30T14:39:03Z,3,5,5,3,4,3,3,3,3,4,5,3,5,4,3,4,4,5,B,C,NA,B,A,Attach a heavy weight on point A, Replace 4 kg with 8 kg and move it to point B,Tom,Less than 1 m,A,By moving the object closer to the tree trunk, less,E0505,5,NA,NA,NA,NA,NA,NA,NA,7,1,1,0,1,1,0,1,0,1,0,1,1,4,3,7,69,8,12,12,17,11,9,0
